season,home_team,away_team,goals_h,goals_a,stadium,link,match_week,match_date,month,day,weekday,referee,attendance,possession_h,possession_a,shots_on_target_h,shots_on_target_a,shots_h,shots_a,touches_h,touches_a,passes_h,passes_a,tackles_h,tackles_a,clearances_h,clearances_a,corners_h,corners_a,offsides_h,offsides_a,yellow_cards_h,yellow_cards_a,red_cards_h,red_cards_a,fouls_conceded_h,fouls_conceded_a,formation_h,formation_a
2022/23,West Ham,Bournemouth,2,0,London Stadium,https://www.premierleague.com/match/75039,13,2022-10-24,10,24,1,David Coote,,54.4,45.6,4,3,20,5,694,610,497,432,22,21,9,23,5,0,1,0,0,2,0,0,9,11,4-2-3-1,4-2-3-1
2022/23,Aston Villa,Brentford,4,0,Villa Park,https://www.premierleague.com/match/75031,13,2022-10-23,10,23,7,Darren England,41693.0,45.1,54.9,11,3,19,12,527,596,329,397,20,20,25,12,7,6,0,1,1,0,0,0,14,11,4-2-3-1,3-5-2
2022/23,Leeds,Fulham,2,3,Elland Road,https://www.premierleague.com/match/75034,13,2022-10-23,10,23,7,Anthony Taylor,36447.0,57.2,42.8,5,5,14,11,680,567,488,355,22,16,7,16,3,6,4,4,1,1,0,0,12,8,4-2-3-1,4-2-3-1
2022/23,Southampton,Arsenal,1,1,St. Mary's Stadium,https://www.premierleague.com/match/75037,13,2022-10-23,10,23,7,Robert Jones,,40.7,59.3,3,3,10,12,533,719,358,541,21,16,17,25,9,4,4,3,2,1,0,0,11,8,4-4-2,4-3-3
2022/23,Wolves,Leicester,0,4,Molineux Stadium,https://www.premierleague.com/match/75040,13,2022-10-23,10,23,7,Michael Oliver,,60.9,39.1,6,4,21,5,728,517,537,347,11,23,7,22,9,2,3,3,2,1,0,0,10,12,4-2-3-1,4-1-4-1
2022/23,Spurs,Newcastle,1,2,Tottenham Hotspur Stadium,https://www.premierleague.com/match/75038,13,2022-10-23,10,23,7,Jarred Gillett,61726.0,52.4,47.6,5,5,17,13,655,621,457,409,18,16,17,16,6,7,3,4,4,2,0,0,12,6,3-5-2,4-3-3
2022/23,Nott'm Forest,Liverpool,1,0,The City Ground,https://www.premierleague.com/match/75036,13,2022-10-22,10,22,6,Paul Tierney,29245.0,24.8,75.2,7,7,10,15,425,895,227,691,19,14,38,7,2,11,3,0,2,1,0,0,14,8,4-3-3,4-4-2
2022/23,Everton,Crystal Palace,3,0,Goodison Park,https://www.premierleague.com/match/75033,13,2022-10-22,10,22,6,Simon Hooper,38939.0,45.8,54.2,6,2,9,9,581,647,382,456,26,20,16,17,3,4,1,2,3,4,0,0,16,14,4-2-3-1,4-1-4-1
2022/23,Man City,Brighton,3,1,Etihad Stadium,https://www.premierleague.com/match/75035,13,2022-10-22,10,22,6,Craig Pawson,53223.0,48.4,51.6,4,2,10,8,591,623,446,471,14,16,12,11,6,3,0,4,1,3,0,0,11,12,4-3-3,3-4-1-2
2022/23,Chelsea,Man Utd,1,1,Stamford Bridge,https://www.premierleague.com/match/75032,13,2022-10-22,10,22,6,Stuart Attwell,39503.0,47.9,52.1,2,6,6,13,583,630,414,464,11,18,18,16,6,4,2,3,1,4,0,0,8,10,3-4-2-1,4-1-4-1
2022/23,Fulham,Aston Villa,3,0,Craven Cottage,https://www.premierleague.com/match/75026,12,2022-10-20,10,20,4,Michael Oliver,23508.0,60.4,39.6,8,6,18,12,651,479,482,311,12,14,14,12,9,7,0,3,0,2,0,1,11,11,4-2-3-1,4-3-2-1
2022/23,Leicester,Leeds,2,0,King Power Stadium,https://www.premierleague.com/match/75027,12,2022-10-20,10,20,4,Peter Bankes,30814.0,46.8,53.2,1,2,5,14,663,721,461,518,26,30,19,14,2,9,4,2,2,1,0,0,15,11,4-1-4-1,4-2-3-1
2022/23,Bournemouth,Southampton,0,1,Vitality Stadium,https://www.premierleague.com/match/75022,12,2022-10-19,10,19,3,John Brooks,10405.0,53.5,46.5,3,3,15,9,719,656,529,464,13,23,10,24,7,3,2,0,1,3,0,0,8,13,3-4-2-1,4-4-2
2022/23,Brentford,Chelsea,0,0,Gtech Community Stadium,https://www.premierleague.com/match/75023,12,2022-10-19,10,19,3,Jarred Gillett,17118.0,33.7,66.3,5,5,8,14,501,844,317,656,19,17,25,21,6,2,0,0,2,0,0,0,7,7,3-5-2,3-5-1-1
2022/23,Liverpool,West Ham,1,0,Anfield,https://www.premierleague.com/match/75028,12,2022-10-19,10,19,3,Stuart Attwell,53346.0,53.8,46.2,7,3,22,8,775,682,600,510,13,15,15,18,8,3,0,0,1,0,0,0,9,8,4-4-2,4-4-2
2022/23,Newcastle,Everton,1,0,St. James' Park,https://www.premierleague.com/match/75030,12,2022-10-19,10,19,3,Tony Harrington,52247.0,49.8,50.2,4,0,16,1,576,595,392,412,21,18,9,19,8,2,0,3,2,4,0,0,9,12,4-3-3,4-3-3
2022/23,Man Utd,Spurs,2,0,Old Trafford,https://www.premierleague.com/match/75029,12,2022-10-19,10,19,3,Simon Hooper,73677.0,51.9,48.1,10,2,28,9,765,703,583,528,17,12,15,10,8,3,4,0,1,0,0,0,7,7,4-2-3-1,3-5-2
2022/23,Brighton,Nott'm Forest,0,0,Amex Stadium,https://www.premierleague.com/match/75024,12,2022-10-18,10,18,2,Darren England,31463.0,70.3,29.7,7,0,19,3,805,435,623,260,11,13,8,24,9,1,1,0,3,1,0,0,10,14,3-4-2-1,4-3-3
2022/23,Crystal Palace,Wolves,2,1,Selhurst Park,https://www.premierleague.com/match/75025,12,2022-10-18,10,18,2,David Coote,25125.0,51.3,48.7,4,4,14,10,663,625,449,428,23,29,15,16,4,2,0,4,3,1,0,0,14,18,4-3-3,4-2-3-1
2022/23,Aston Villa,Chelsea,0,2,Villa Park,https://www.premierleague.com/match/75011,11,2022-10-16,10,16,7,Robert Jones,41754.0,41.1,58.9,7,4,18,8,542,717,353,548,24,9,6,22,7,1,3,1,0,3,0,0,12,11,4-3-3,3-4-2-1
2022/23,Leeds,Arsenal,0,1,Elland Road,https://www.premierleague.com/match/75014,11,2022-10-16,10,16,7,Chris Kavanagh,36700.0,47.0,53.0,4,4,16,9,609,695,428,500,25,17,5,17,6,3,4,0,0,2,0,1,10,11,4-2-3-1,4-2-3-1
2022/23,Man Utd,Newcastle,0,0,Old Trafford,https://www.premierleague.com/match/75017,11,2022-10-16,10,16,7,Craig Pawson,73726.0,63.0,37.0,2,2,15,9,676,476,512,301,18,13,9,19,4,4,2,0,3,1,0,0,13,11,4-2-3-1,4-3-3
2022/23,Southampton,West Ham,1,1,St. Mary's Stadium,https://www.premierleague.com/match/75018,11,2022-10-16,10,16,7,Peter Bankes,29159.0,39.1,60.9,8,4,10,25,540,700,323,488,14,22,34,19,4,14,1,0,1,1,0,0,7,3,4-3-3,3-4-3
2022/23,Liverpool,Man City,1,0,Anfield,https://www.premierleague.com/match/75016,11,2022-10-16,10,16,7,Anthony Taylor,53286.0,36.8,63.2,2,6,13,16,601,907,407,702,23,20,27,15,5,6,3,0,3,1,0,0,10,7,4-2-3-1,3-4-2-1
2022/23,Leicester,Crystal Palace,0,0,King Power Stadium,https://www.premierleague.com/match/75015,11,2022-10-15,10,15,6,Andy Madley,31298.0,53.1,46.9,5,1,14,8,758,697,579,514,25,13,12,25,9,2,2,1,2,2,0,0,18,13,4-1-4-1,4-3-3
2022/23,Fulham,Bournemouth,2,2,Craven Cottage,https://www.premierleague.com/match/75013,11,2022-10-15,10,15,6,Graham Scott,22541.0,68.9,31.1,4,6,19,10,773,453,585,268,12,14,8,46,5,6,1,0,2,0,0,0,9,11,4-2-3-1,4-2-3-1
2022/23,Wolves,Nott'm Forest,1,0,Molineux Stadium,https://www.premierleague.com/match/75020,11,2022-10-15,10,15,6,Thomas Bramall,31554.0,58.0,42.0,2,2,9,10,615,482,435,313,17,16,23,21,4,5,2,1,2,2,0,0,17,13,4-2-3-1,4-3-3
2022/23,Spurs,Everton,2,0,Tottenham Hotspur Stadium,https://www.premierleague.com/match/75019,11,2022-10-15,10,15,6,Paul Tierney,61812.0,61.5,38.5,7,0,21,4,734,518,583,367,8,15,6,25,7,1,0,0,1,4,0,0,12,13,3-4-2-1,5-3-2
2022/23,Brentford,Brighton,2,0,Gtech Community Stadium,https://www.premierleague.com/match/75012,11,2022-10-14,10,14,5,Michael Salisbury,17016.0,27.5,72.5,3,7,7,21,444,798,235,611,12,25,29,9,2,11,0,3,3,1,0,0,12,15,4-3-3,4-4-2
2022/23,Nott'm Forest,Aston Villa,1,1,The City Ground,https://www.premierleague.com/match/75009,10,2022-10-10,10,10,1,Anthony Taylor,29208.0,39.9,60.1,3,2,6,12,524,697,333,506,14,21,23,8,1,4,0,3,3,3,0,0,13,19,4-3-3,4-3-3
2022/23,Crystal Palace,Leeds,2,1,Selhurst Park,https://www.premierleague.com/match/75005,10,2022-10-09,10,9,7,Paul Tierney,25042.0,54.5,45.5,5,4,13,10,666,555,418,345,18,29,19,12,5,3,2,2,3,3,0,0,13,23,4-3-3,4-2-3-1
2022/23,West Ham,Fulham,3,1,London Stadium,https://www.premierleague.com/match/75010,10,2022-10-09,10,9,7,Chris Kavanagh,62454.0,50.3,49.7,8,2,17,8,648,662,485,486,12,14,11,17,4,2,1,2,1,3,0,0,9,7,4-2-3-1,4-2-3-1
2022/23,Arsenal,Liverpool,3,2,Emirates Stadium,https://www.premierleague.com/match/75001,10,2022-10-09,10,9,7,Michael Oliver,,44.0,56.0,7,3,11,8,574,670,386,488,16,15,31,19,4,3,3,6,1,2,0,0,11,11,4-2-3-1,4-2-3-1
2022/23,Everton,Man Utd,1,2,Goodison Park,https://www.premierleague.com/match/75006,10,2022-10-09,10,9,7,David Coote,39258.0,39.7,60.3,2,4,11,12,556,765,375,609,9,15,9,25,5,4,1,4,2,1,0,0,7,13,4-3-3,4-2-3-1
2022/23,Bournemouth,Leicester,2,1,Vitality Stadium,https://www.premierleague.com/match/75002,10,2022-10-08,10,8,6,Michael Salisbury,10272.0,44.2,55.8,4,5,10,9,631,734,424,551,13,32,12,23,7,2,3,0,1,2,0,0,8,16,4-4-2,4-1-4-1
2022/23,Chelsea,Wolves,3,0,Stamford Bridge,https://www.premierleague.com/match/75004,10,2022-10-08,10,8,6,Simon Hooper,39940.0,57.4,42.6,7,2,20,8,768,612,591,431,26,13,12,17,4,2,3,0,2,0,0,0,8,8,4-2-3-1,4-2-3-1
2022/23,Man City,Southampton,4,0,Etihad Stadium,https://www.premierleague.com/match/75007,10,2022-10-08,10,8,6,Andy Madley,53365.0,65.2,34.8,8,0,21,5,909,559,744,393,15,19,6,20,9,1,1,1,0,1,0,0,4,8,4-2-3-1,4-4-2
2022/23,Newcastle,Brentford,5,1,St. James' Park,https://www.premierleague.com/match/75008,10,2022-10-08,10,8,6,John Brooks,52067.0,54.4,45.6,6,3,16,6,562,496,389,320,16,11,21,15,9,5,1,3,0,1,0,0,14,9,4-3-3,3-5-2
2022/23,Brighton,Spurs,0,1,Amex Stadium,https://www.premierleague.com/match/75003,10,2022-10-08,10,8,6,Tony Harrington,31498.0,58.9,41.1,4,3,14,8,864,652,694,489,17,15,7,19,6,2,2,3,1,2,0,0,9,14,3-4-2-1,3-5-2
2022/23,Leicester,Nott'm Forest,4,0,King Power Stadium,https://www.premierleague.com/match/74996,9,2022-10-03,10,3,1,Robert Jones,32202.0,51.6,48.4,7,3,17,10,662,622,492,464,11,14,17,15,6,6,3,4,2,4,0,0,13,12,4-1-4-1,4-2-3-1
2022/23,Man City,Man Utd,6,3,Etihad Stadium,https://www.premierleague.com/match/74998,9,2022-10-02,10,2,7,Michael Oliver,53475.0,53.9,46.1,10,8,22,12,703,603,551,476,14,14,9,10,5,1,1,0,0,3,0,0,3,9,4-3-3,4-2-3-1
2022/23,Leeds,Aston Villa,0,0,Elland Road,https://www.premierleague.com/match/74995,9,2022-10-02,10,2,7,Stuart Attwell,36582.0,43.8,56.2,1,7,6,19,553,663,375,479,12,16,23,7,2,9,0,2,3,2,1,0,23,12,4-2-3-1,4-3-3
2022/23,Arsenal,Spurs,3,1,Emirates Stadium,https://www.premierleague.com/match/74991,9,2022-10-01,10,1,6,Anthony Taylor,60278.0,64.7,35.3,9,3,22,7,750,468,565,307,14,16,15,26,5,2,1,3,2,1,0,1,10,10,4-2-3-1,3-4-2-1
2022/23,Bournemouth,Brentford,0,0,Vitality Stadium,https://www.premierleague.com/match/74992,9,2022-10-01,10,1,6,Thomas Bramall,10126.0,42.0,58.0,1,4,7,13,540,703,375,530,14,20,20,19,7,8,1,2,1,2,0,0,11,10,4-4-2,4-3-3
2022/23,Crystal Palace,Chelsea,1,2,Selhurst Park,https://www.premierleague.com/match/74993,9,2022-10-01,10,1,6,Chris Kavanagh,25198.0,36.0,64.0,3,3,7,13,514,799,348,635,18,16,14,12,5,2,1,0,1,3,0,0,11,13,4-3-3,4-2-2-2
2022/23,Fulham,Newcastle,1,4,Craven Cottage,https://www.premierleague.com/match/74994,9,2022-10-01,10,1,6,Darren England,22913.0,31.7,68.3,1,10,3,19,423,770,281,605,13,15,14,14,1,8,4,7,2,0,1,0,9,10,4-2-3-1,4-3-3
2022/23,Liverpool,Brighton,3,3,Anfield,https://www.premierleague.com/match/74997,9,2022-10-01,10,1,6,Andy Madley,53320.0,53.8,46.2,7,6,15,6,749,657,530,460,15,23,16,26,9,2,1,0,1,1,0,0,9,13,4-3-3,3-4-2-1
2022/23,Southampton,Everton,1,2,St. Mary's Stadium,https://www.premierleague.com/match/74999,9,2022-10-01,10,1,6,Andre Marriner,30510.0,54.2,45.8,6,5,22,12,670,594,445,380,22,23,17,26,7,6,0,1,2,2,0,0,11,10,4-4-2,4-3-3
2022/23,West Ham,Wolves,2,0,London Stadium,https://www.premierleague.com/match/75000,9,2022-10-01,10,1,6,Paul Tierney,62444.0,39.1,60.9,5,4,18,15,539,754,372,564,23,12,27,6,1,6,2,1,2,2,0,0,8,6,4-2-3-1,3-4-2-1
2022/23,Brentford,Arsenal,0,3,Gtech Community Stadium,https://www.premierleague.com/match/74982,8,2022-09-18,9,18,7,David Coote,17122.0,36.1,63.9,2,7,5,13,487,754,321,592,21,12,16,19,3,3,3,1,0,2,0,0,10,10,3-5-2,4-2-3-1
2022/23,Everton,West Ham,1,0,Goodison Park,https://www.premierleague.com/match/74985,8,2022-09-18,9,18,7,Michael Oliver,39298.0,53.6,46.4,2,4,7,14,676,575,464,388,18,18,28,17,5,14,1,1,3,1,0,0,8,11,4-3-3,4-2-3-1
2022/23,Wolves,Man City,0,3,Molineux Stadium,https://www.premierleague.com/match/74990,8,2022-09-17,9,17,6,Anthony Taylor,31578.0,40.8,59.2,1,7,6,16,588,796,422,622,19,19,11,10,5,7,0,1,2,1,1,0,7,9,4-3-3,4-3-3
2022/23,Newcastle,Bournemouth,1,1,St. James' Park,https://www.premierleague.com/match/74987,8,2022-09-17,9,17,6,Craig Pawson,52238.0,72.4,27.6,7,3,20,10,839,448,643,245,16,18,9,35,8,1,3,1,2,2,0,0,10,11,4-3-3,4-2-3-1
2022/23,Spurs,Leicester,6,2,Tottenham Hotspur Stadium,https://www.premierleague.com/match/74989,8,2022-09-17,9,17,6,Simon Hooper,61450.0,43.7,56.3,11,7,16,19,651,795,482,632,14,16,8,11,6,1,1,0,1,2,0,0,9,9,3-4-2-1,4-1-4-1
2022/23,Aston Villa,Southampton,1,0,Villa Park,https://www.premierleague.com/match/74981,8,2022-09-16,9,16,5,Tony Harrington,40758.0,52.7,47.3,3,1,11,7,645,624,420,376,35,28,21,26,6,3,1,0,3,1,0,0,13,13,4-3-2-1,4-2-3-1
2022/23,Nott'm Forest,Fulham,2,3,The City Ground,https://www.premierleague.com/match/74988,8,2022-09-16,9,16,5,Jarred Gillett,28654.0,40.8,59.2,3,7,11,15,540,721,375,555,10,12,22,14,2,10,2,1,2,4,0,0,11,10,3-4-1-2,4-2-3-1
2022/23,Brighton,Leicester,5,2,Amex Stadium,https://www.premierleague.com/match/74963,6,2022-09-04,9,4,7,Tony Harrington,31185.0,53.5,46.5,11,4,23,6,670,608,493,436,17,13,5,27,10,1,2,3,1,1,0,0,6,8,3-5-2,4-4-2
2022/23,Man Utd,Arsenal,3,1,Old Trafford,https://www.premierleague.com/match/74966,6,2022-09-04,9,4,7,Paul Tierney,73431.0,39.5,60.5,6,3,10,16,472,630,310,465,17,14,24,6,2,5,4,0,3,3,0,0,13,9,4-2-3-1,4-2-3-1
2022/23,Everton,Liverpool,0,0,Goodison Park,https://www.premierleague.com/match/74965,6,2022-09-03,9,3,6,Anthony Taylor,39240.0,39.1,60.9,3,8,14,23,497,682,302,469,19,15,32,16,7,9,3,2,2,2,0,0,7,11,4-3-3,4-3-3
2022/23,Brentford,Leeds,5,2,Gtech Community Stadium,https://www.premierleague.com/match/74962,6,2022-09-03,9,3,6,Robert Jones,,31.1,68.9,8,6,14,17,429,693,218,488,24,24,21,13,2,6,1,1,2,2,0,0,8,9,4-3-3,4-2-3-1
2022/23,Chelsea,West Ham,2,1,Stamford Bridge,https://www.premierleague.com/match/74964,6,2022-09-03,9,3,6,Andy Madley,39923.0,68.1,31.9,3,3,8,6,826,485,661,308,16,14,12,28,10,3,1,1,4,2,0,0,6,11,3-1-4-2,3-4-1-2
2022/23,Newcastle,Crystal Palace,0,0,St. James' Park,https://www.premierleague.com/match/74967,6,2022-09-03,9,3,6,Michael Salisbury,51863.0,51.7,48.3,6,9,23,19,599,604,359,362,18,23,18,35,13,5,2,1,2,2,0,0,19,12,4-3-3,4-3-3
2022/23,Nott'm Forest,Bournemouth,2,3,The City Ground,https://www.premierleague.com/match/74968,6,2022-09-03,9,3,6,Michael Oliver,28720.0,52.7,47.3,3,3,11,8,665,626,486,442,13,12,17,29,4,6,1,1,2,1,0,0,13,10,3-4-2-1,4-2-3-1
