Algorithm,Train AUC,Test AUC,Train Balanced Accuracy,Test Balanced Accuracy,Accuracy,Precision,Recall,F1,MCC,Brier Loss,N Features,Pipeline
Voting,0.75,0.72,0.68,0.66,0.61,0.46,0.81,0.59,0.3,0.2,235,"VotingClassifier(estimators=[('Logistic Regression',
                              Pipeline(steps=[('initial_preprocessor',
                                               InitialPreprocessor()),
                                              ('feature_transformer',
                                               ColumnTransformer(n_jobs=-1,
                                                                 remainder='passthrough',
                                                                 transformers=[('nominal_pipeline',
                                                                                Pipeline(steps=[('imputer',
                                                                                                 SimpleImputer(strategy='most_frequent')),
                                                                                                ('ohe',
                                                                                                 OneHotEncoder(handle_unknown='ignore'))]),
                                                                                ['derby_na...
                                                                                 'total_avg_goals_scored_last_5_a',
                                                                                 'total_goals_conceded_h',
                                                                                 'total_goals_conceded_a', ...])])),
                                              ('feature_selector',
                                               SelectPercentile(percentile=90)),
                                              ('classifier',
                                               MLPClassifier(alpha=0.1,
                                                             early_stopping=True,
                                                             learning_rate='adaptive',
                                                             learning_rate_init=0.03552197786623699,
                                                             max_iter=1000,
                                                             n_iter_no_change=3,
                                                             shuffle=False,
                                                             tol=1e-08))]))],
                 n_jobs=-1, voting='soft')"
Logistic Regression,0.75,0.72,0.68,0.66,0.65,0.49,0.72,0.58,0.31,0.2,274,"Pipeline(steps=[('initial_preprocessor', InitialPreprocessor()),
                ('feature_transformer',
                 ColumnTransformer(n_jobs=-1, remainder='passthrough',
                                   transformers=[('nominal_pipeline',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('ohe',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['derby_name', 'home_team',
                                                   'away_team']),
                                                 ('ordinal_pipeline',
                                                  P...
                                                   'total_avg_goals_scored_last_3_h',
                                                   'total_avg_goals_scored_last_3_a',
                                                   'total_avg_goals_scored_last_5_h',
                                                   'total_avg_goals_scored_last_5_a',
                                                   'total_goals_conceded_h',
                                                   'total_goals_conceded_a', ...])])),
                ('feature_selector', SelectPercentile(percentile=90)),
                ('classifier',
                 LogisticRegression(C=0.02131123768063028, random_state=42,
                                    solver='liblinear', tol=1e-06))])"
Multi Layer Perceptron,0.74,0.72,0.67,0.66,0.66,0.51,0.66,0.58,0.3,0.2,274,"Pipeline(steps=[('initial_preprocessor', InitialPreprocessor()),
                ('feature_transformer',
                 ColumnTransformer(n_jobs=-1, remainder='passthrough',
                                   transformers=[('nominal_pipeline',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('ohe',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['derby_name', 'home_team',
                                                   'away_team']),
                                                 ('ordinal_pipeline',
                                                  P...
                                                   'total_avg_goals_scored_last_5_h',
                                                   'total_avg_goals_scored_last_5_a',
                                                   'total_goals_conceded_h',
                                                   'total_goals_conceded_a', ...])])),
                ('feature_selector', SelectPercentile(percentile=90)),
                ('classifier',
                 MLPClassifier(alpha=0.1, early_stopping=True,
                               learning_rate='adaptive',
                               learning_rate_init=0.03552197786623699,
                               max_iter=1000, n_iter_no_change=3, shuffle=False,
                               tol=1e-08))])"
Stacked,0.75,0.72,0.68,0.66,0.63,0.48,0.74,0.58,0.3,0.2,235,"StackingClassifier(estimators=[('Logistic Regression',
                                Pipeline(steps=[('initial_preprocessor',
                                                 InitialPreprocessor()),
                                                ('feature_transformer',
                                                 ColumnTransformer(n_jobs=-1,
                                                                   remainder='passthrough',
                                                                   transformers=[('nominal_pipeline',
                                                                                  Pipeline(steps=[('imputer',
                                                                                                   SimpleImputer(strategy='most_frequent')),
                                                                                                  ('ohe',
                                                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                                                  ['derby_...
                                                                                   'total_avg_goals_scored_last_5_h',
                                                                                   'total_avg_goals_scored_last_5_a',
                                                                                   'total_goals_conceded_h',
                                                                                   'total_goals_conceded_a', ...])])),
                                                ('feature_selector',
                                                 SelectPercentile(percentile=90)),
                                                ('classifier',
                                                 MLPClassifier(alpha=0.1,
                                                               early_stopping=True,
                                                               learning_rate='adaptive',
                                                               learning_rate_init=0.03552197786623699,
                                                               max_iter=1000,
                                                               n_iter_no_change=3,
                                                               shuffle=False,
                                                               tol=1e-08))]))],
                   n_jobs=-1)"
Light Gradient Boosted Machine,0.76,0.71,0.7,0.65,0.61,0.46,0.77,0.58,0.29,0.2,156,"Pipeline(steps=[('initial_preprocessor', InitialPreprocessor()),
                ('feature_transformer',
                 ColumnTransformer(n_jobs=-1, remainder='passthrough',
                                   transformers=[('nominal_pipeline',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('ohe',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['derby_name', 'home_team',
                                                   'away_team']),
                                                 ('ordinal_pipeline',
                                                  P...
                                                   'total_avg_goals_scored_last_5_a',
                                                   'total_goals_conceded_h',
                                                   'total_goals_conceded_a', ...])])),
                ('feature_selector',
                 SelectFromModel(estimator=LGBMClassifier(objective='binary',
                                                          random_state=42),
                                 threshold='median')),
                ('classifier',
                 LGBMClassifier(learning_rate=0.0366759486034943, max_depth=2,
                                objective='binary', random_state=42,
                                reg_alpha=0.1,
                                reg_lambda=3.826892367345844e-07))])"
Gaussian Naïve Bayes,0.73,0.71,0.66,0.65,0.64,0.49,0.67,0.57,0.28,0.32,92,"Pipeline(steps=[('initial_preprocessor', InitialPreprocessor()),
                ('feature_transformer',
                 ColumnTransformer(n_jobs=-1, remainder='passthrough',
                                   transformers=[('nominal_pipeline',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('ohe',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['derby_name', 'home_team',
                                                   'away_team']),
                                                 ('ordinal_pipeline',
                                                  P...
                                                   'total_goals_scored_a',
                                                   'total_avg_goals_scored_h',
                                                   'total_avg_goals_scored_a',
                                                   'total_avg_goals_scored_last_3_h',
                                                   'total_avg_goals_scored_last_3_a',
                                                   'total_avg_goals_scored_last_5_h',
                                                   'total_avg_goals_scored_last_5_a',
                                                   'total_goals_conceded_h',
                                                   'total_goals_conceded_a', ...])])),
                ('feature_selector', SelectPercentile(percentile=30)),
                ('classifier', GaussianNB())])"
Random Forest,0.83,0.71,0.76,0.65,0.67,0.52,0.59,0.55,0.29,0.2,145,"Pipeline(steps=[('initial_preprocessor', InitialPreprocessor()),
                ('feature_transformer',
                 ColumnTransformer(n_jobs=-1, remainder='passthrough',
                                   transformers=[('nominal_pipeline',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('ohe',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['derby_name', 'home_team',
                                                   'away_team']),
                                                 ('ordinal_pipeline',
                                                  P...
                                                   'total_avg_goals_scored_last_5_a',
                                                   'total_goals_conceded_h',
                                                   'total_goals_conceded_a', ...])])),
                ('feature_selector',
                 SelectFromModel(estimator=RandomForestClassifier(n_jobs=-1,
                                                                  random_state=42))),
                ('classifier',
                 RandomForestClassifier(criterion='entropy', max_depth=6,
                                        max_features='sqrt', min_samples_leaf=6,
                                        min_samples_split=3, n_estimators=101,
                                        n_jobs=-1, random_state=42))])"
Category Boosting,0.98,0.71,0.93,0.65,0.68,0.53,0.55,0.54,0.29,0.2,126,"Pipeline(steps=[('initial_preprocessor', InitialPreprocessor()),
                ('feature_transformer',
                 ColumnTransformer(n_jobs=-1, remainder='passthrough',
                                   transformers=[('nominal_pipeline',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('ohe',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['derby_name', 'home_team',
                                                   'away_team']),
                                                 ('ordinal_pipeline',
                                                  P...
                                                   'total_avg_goals_scored_last_3_h',
                                                   'total_avg_goals_scored_last_3_a',
                                                   'total_avg_goals_scored_last_5_h',
                                                   'total_avg_goals_scored_last_5_a',
                                                   'total_goals_conceded_h',
                                                   'total_goals_conceded_a', ...])])),
                ('feature_selector',
                 SelectFromModel(estimator=<catboost.core.CatBoostClassifier object at 0x7fa9b5ca92b0>)),
                ('classifier',
                 <catboost.core.CatBoostClassifier object at 0x7fa9b5ca92b0>)])"
Extreme Gradient Boosted Machine,0.8,0.71,0.73,0.64,0.62,0.47,0.72,0.57,0.28,0.2,153,"Pipeline(steps=[('initial_preprocessor', InitialPreprocessor()),
                ('feature_transformer',
                 ColumnTransformer(n_jobs=-1, remainder='passthrough',
                                   transformers=[('nominal_pipeline',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('ohe',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['derby_name', 'home_team',
                                                   'away_team']),
                                                 ('ordinal_pipeline',
                                                  P...
                               importance_type=None, interaction_constraints='',
                               learning_rate=0.016451534376309435,
                               max_delta_step=0, max_depth=3,
                               min_child_weight=1, missing=nan,
                               monotone_constraints='()', n_estimators=235,
                               n_jobs=-1, num_parallel_tree=1, predictor='auto',
                               random_state=42, reg_alpha=0.1, reg_lambda=0.1,
                               scale_pos_weight=1, subsample=1,
                               tree_method='exact', use_label_encoder=False,
                               validate_parameters=1, verbosity=None))])"
Adaptive Boosting,0.75,0.71,0.68,0.64,0.68,0.54,0.51,0.52,0.29,0.23,305,"Pipeline(steps=[('initial_preprocessor', InitialPreprocessor()),
                ('feature_transformer',
                 ColumnTransformer(n_jobs=-1, remainder='passthrough',
                                   transformers=[('nominal_pipeline',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('ohe',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['derby_name', 'home_team',
                                                   'away_team']),
                                                 ('ordinal_pipeline',
                                                  P...
                                                   'total_avg_goals_scored_last_3_a',
                                                   'total_avg_goals_scored_last_5_h',
                                                   'total_avg_goals_scored_last_5_a',
                                                   'total_goals_conceded_h',
                                                   'total_goals_conceded_a', ...])])),
                ('feature_selector',
                 SelectFromModel(estimator=AdaBoostClassifier(random_state=42),
                                 threshold='median')),
                ('classifier',
                 AdaBoostClassifier(learning_rate=0.07950782630013725,
                                    n_estimators=80, random_state=42))])"
Gradient Boosted Machine,0.84,0.71,0.59,0.55,0.42,0.37,0.97,0.54,0.17,0.23,305,"Pipeline(steps=[('initial_preprocessor', InitialPreprocessor()),
                ('feature_transformer',
                 ColumnTransformer(n_jobs=-1, remainder='passthrough',
                                   transformers=[('nominal_pipeline',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('ohe',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['derby_name', 'home_team',
                                                   'away_team']),
                                                 ('ordinal_pipeline',
                                                  P...
                 SelectFromModel(estimator=GradientBoostingClassifier(n_iter_no_change=3,
                                                                      random_state=42),
                                 threshold='median')),
                ('classifier',
                 GradientBoostingClassifier(learning_rate=5.293394748301241e-05,
                                            loss='exponential', max_depth=6,
                                            max_features='log2',
                                            min_samples_leaf=2,
                                            min_samples_split=6,
                                            n_estimators=209,
                                            n_iter_no_change=3, random_state=42,
                                            tol=3.663385297163735e-06))])"
