Algorithm,Train Balanced Accuracy,Test Balanced Accuracy,Accuracy,Precision,Recall,F0.5,AUC,Brier Score Loss,Train Threshold,Test Threshold
Logistic Regression,0.66,0.67,0.67,0.61,0.63,0.61,0.72,0.21,0.45999999999999985,0.44999999999999984
Support Vector Machine,0.7,0.67,0.67,0.62,0.64,0.62,0.71,0.21,0.4199999999999998,0.4299999999999998
Multi Layer Perceptron,0.68,0.66,0.65,0.57,0.75,0.6,0.7,0.22,0.4299999999999998,0.3599999999999999
Gaussian Naïve Bayes,0.65,0.66,0.65,0.58,0.69,0.6,0.7,0.34,0.8699999999999996,0.14999999999999997
Category Boosting,0.97,0.65,0.63,0.55,0.81,0.59,0.7,0.21,0.43999999999999984,0.33999999999999986
Gradient Boosted Machine,0.84,0.64,0.64,0.57,0.63,0.58,0.69,0.22,0.4199999999999998,0.3899999999999999
Extreme Gradient Boosted Machine,0.99,0.64,0.64,0.59,0.59,0.59,0.67,0.25,0.5,0.3999999999999998
Random Forest,0.99,0.63,0.65,0.61,0.5,0.58,0.66,0.22,0.5,0.46999999999999986
Light Gradient Boosted Machine,0.99,0.63,0.61,0.53,0.79,0.57,0.66,0.24,0.3699999999999999,0.24999999999999992
Adaptive Boosting,0.73,0.63,0.65,0.61,0.52,0.59,0.68,0.24,0.5,0.5
K Nearest Neighbors,0.75,0.6,0.62,0.56,0.49,0.54,0.62,0.26,0.5,0.5
Decision Tree,1.0,0.6,0.6,0.54,0.56,0.54,0.6,0.4,0.1,0.5
