Algorithm,Train AUC,Test AUC,Train Balanced Accuracy,Test Balanced Accuracy,Accuracy,Precision,Recall,F1,MCC,Brier Loss,N Features,Pipeline
Stacked,0.74,0.73,0.68,0.67,0.66,0.6,0.69,0.64,0.33,0.21,237,"StackingClassifier(estimators=[('Logistic Regression',
                                Pipeline(steps=[('initial_preprocessor',
                                                 InitialPreprocessor()),
                                                ('feature_transformer',
                                                 ColumnTransformer(n_jobs=-1,
                                                                   remainder='passthrough',
                                                                   transformers=[('nominal_pipeline',
                                                                                  Pipeline(steps=[('imputer',
                                                                                                   SimpleImputer(strategy='most_frequent')),
                                                                                                  ('ohe',
                                                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                                                  ['derby_...
                                                                                   'total_avg_goals_scored_last_5_a',
                                                                                   'total_goals_conceded_h',
                                                                                   'total_goals_conceded_a', ...])])),
                                                ('feature_selector',
                                                 SelectPercentile(percentile=90)),
                                                ('classifier',
                                                 MLPClassifier(alpha=0.1,
                                                               early_stopping=True,
                                                               learning_rate='adaptive',
                                                               learning_rate_init=0.005074140340772038,
                                                               max_iter=1000,
                                                               n_iter_no_change=3,
                                                               shuffle=False,
                                                               tol=9.308985155873602e-07))]))],
                   n_jobs=-1)"
Voting,0.75,0.72,0.69,0.67,0.66,0.59,0.72,0.65,0.34,0.21,237,"VotingClassifier(estimators=[('Logistic Regression',
                              Pipeline(steps=[('initial_preprocessor',
                                               InitialPreprocessor()),
                                              ('feature_transformer',
                                               ColumnTransformer(n_jobs=-1,
                                                                 remainder='passthrough',
                                                                 transformers=[('nominal_pipeline',
                                                                                Pipeline(steps=[('imputer',
                                                                                                 SimpleImputer(strategy='most_frequent')),
                                                                                                ('ohe',
                                                                                                 OneHotEncoder(handle_unknown='ignore'))]),
                                                                                ['derby_na...
                                                                                 'total_avg_goals_scored_last_5_a',
                                                                                 'total_goals_conceded_h',
                                                                                 'total_goals_conceded_a', ...])])),
                                              ('feature_selector',
                                               SelectPercentile(percentile=90)),
                                              ('classifier',
                                               MLPClassifier(alpha=0.1,
                                                             early_stopping=True,
                                                             learning_rate='adaptive',
                                                             learning_rate_init=0.005074140340772038,
                                                             max_iter=1000,
                                                             n_iter_no_change=3,
                                                             shuffle=False,
                                                             tol=9.308985155873602e-07))]))],
                 n_jobs=-1, voting='soft')"
Logistic Regression,0.73,0.72,0.66,0.67,0.67,0.6,0.69,0.64,0.34,0.21,274,"Pipeline(steps=[('initial_preprocessor', InitialPreprocessor()),
                ('feature_transformer',
                 ColumnTransformer(n_jobs=-1, remainder='passthrough',
                                   transformers=[('nominal_pipeline',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('ohe',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['derby_name', 'home_team',
                                                   'away_team']),
                                                 ('ordinal_pipeline',
                                                  P...
                                                   'total_avg_goals_scored_last_3_h',
                                                   'total_avg_goals_scored_last_3_a',
                                                   'total_avg_goals_scored_last_5_h',
                                                   'total_avg_goals_scored_last_5_a',
                                                   'total_goals_conceded_h',
                                                   'total_goals_conceded_a', ...])])),
                ('feature_selector', SelectPercentile(percentile=90)),
                ('classifier',
                 LogisticRegression(C=0.01096614581551692, random_state=42,
                                    solver='liblinear',
                                    tol=0.00018736985877704581))])"
Multi Layer Perceptron,0.73,0.72,0.67,0.67,0.66,0.6,0.69,0.64,0.33,0.21,274,"Pipeline(steps=[('initial_preprocessor', InitialPreprocessor()),
                ('feature_transformer',
                 ColumnTransformer(n_jobs=-1, remainder='passthrough',
                                   transformers=[('nominal_pipeline',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('ohe',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['derby_name', 'home_team',
                                                   'away_team']),
                                                 ('ordinal_pipeline',
                                                  P...
                                                   'total_avg_goals_scored_last_5_h',
                                                   'total_avg_goals_scored_last_5_a',
                                                   'total_goals_conceded_h',
                                                   'total_goals_conceded_a', ...])])),
                ('feature_selector', SelectPercentile(percentile=90)),
                ('classifier',
                 MLPClassifier(alpha=0.1, early_stopping=True,
                               learning_rate='adaptive',
                               learning_rate_init=0.005074140340772038,
                               max_iter=1000, n_iter_no_change=3, shuffle=False,
                               tol=9.308985155873602e-07))])"
Light Gradient Boosted Machine,0.75,0.72,0.69,0.67,0.68,0.63,0.62,0.62,0.34,0.21,164,"Pipeline(steps=[('initial_preprocessor', InitialPreprocessor()),
                ('feature_transformer',
                 ColumnTransformer(n_jobs=-1, remainder='passthrough',
                                   transformers=[('nominal_pipeline',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('ohe',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['derby_name', 'home_team',
                                                   'away_team']),
                                                 ('ordinal_pipeline',
                                                  P...
                                                   'total_avg_goals_scored_last_5_a',
                                                   'total_goals_conceded_h',
                                                   'total_goals_conceded_a', ...])])),
                ('feature_selector',
                 SelectFromModel(estimator=LGBMClassifier(objective='binary',
                                                          random_state=42),
                                 threshold='median')),
                ('classifier',
                 LGBMClassifier(learning_rate=0.019405175955439752, max_depth=2,
                                n_estimators=277, objective='binary',
                                random_state=42, reg_alpha=0.1,
                                reg_lambda=1e-08))])"
Extreme Gradient Boosted Machine,0.74,0.72,0.67,0.67,0.68,0.63,0.62,0.62,0.34,0.21,77,"Pipeline(steps=[('initial_preprocessor', InitialPreprocessor()),
                ('feature_transformer',
                 ColumnTransformer(n_jobs=-1, remainder='passthrough',
                                   transformers=[('nominal_pipeline',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('ohe',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['derby_name', 'home_team',
                                                   'away_team']),
                                                 ('ordinal_pipeline',
                                                  P...
                               importance_type=None, interaction_constraints='',
                               learning_rate=0.04483823470232985,
                               max_delta_step=0, max_depth=1,
                               min_child_weight=1, missing=nan,
                               monotone_constraints='()', n_estimators=300,
                               n_jobs=-1, num_parallel_tree=1, predictor='auto',
                               random_state=42, reg_alpha=0.1, reg_lambda=0.1,
                               scale_pos_weight=1, subsample=1,
                               tree_method='exact', use_label_encoder=False,
                               validate_parameters=1, verbosity=None))])"
Adaptive Boosting,0.73,0.72,0.66,0.66,0.68,0.69,0.48,0.57,0.34,0.24,42,"Pipeline(steps=[('initial_preprocessor', InitialPreprocessor()),
                ('feature_transformer',
                 ColumnTransformer(n_jobs=-1, remainder='passthrough',
                                   transformers=[('nominal_pipeline',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('ohe',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['derby_name', 'home_team',
                                                   'away_team']),
                                                 ('ordinal_pipeline',
                                                  P...
                                                   'total_avg_goals_scored_last_3_h',
                                                   'total_avg_goals_scored_last_3_a',
                                                   'total_avg_goals_scored_last_5_h',
                                                   'total_avg_goals_scored_last_5_a',
                                                   'total_goals_conceded_h',
                                                   'total_goals_conceded_a', ...])])),
                ('feature_selector',
                 SelectFromModel(estimator=AdaBoostClassifier(random_state=42))),
                ('classifier',
                 AdaBoostClassifier(learning_rate=0.07216885189062786,
                                    n_estimators=69, random_state=42))])"
Gradient Boosted Machine,0.75,0.72,0.66,0.65,0.63,0.56,0.76,0.64,0.3,0.24,50,"Pipeline(steps=[('initial_preprocessor', InitialPreprocessor()),
                ('feature_transformer',
                 ColumnTransformer(n_jobs=-1, remainder='passthrough',
                                   transformers=[('nominal_pipeline',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('ohe',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['derby_name', 'home_team',
                                                   'away_team']),
                                                 ('ordinal_pipeline',
                                                  P...
                                                   'total_goals_conceded_a', ...])])),
                ('feature_selector',
                 SelectFromModel(estimator=GradientBoostingClassifier(n_iter_no_change=3,
                                                                      random_state=42))),
                ('classifier',
                 GradientBoostingClassifier(learning_rate=0.0006649152414136064,
                                            max_depth=4, max_features='log2',
                                            min_samples_leaf=6,
                                            min_samples_split=6,
                                            n_iter_no_change=3, random_state=42,
                                            tol=6.527611509032736e-07))])"
Gaussian Naïve Bayes,0.71,0.71,0.66,0.66,0.66,0.61,0.62,0.61,0.31,0.33,213,"Pipeline(steps=[('initial_preprocessor', InitialPreprocessor()),
                ('feature_transformer',
                 ColumnTransformer(n_jobs=-1, remainder='passthrough',
                                   transformers=[('nominal_pipeline',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('ohe',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['derby_name', 'home_team',
                                                   'away_team']),
                                                 ('ordinal_pipeline',
                                                  P...
                                                   'total_goals_scored_a',
                                                   'total_avg_goals_scored_h',
                                                   'total_avg_goals_scored_a',
                                                   'total_avg_goals_scored_last_3_h',
                                                   'total_avg_goals_scored_last_3_a',
                                                   'total_avg_goals_scored_last_5_h',
                                                   'total_avg_goals_scored_last_5_a',
                                                   'total_goals_conceded_h',
                                                   'total_goals_conceded_a', ...])])),
                ('feature_selector', SelectPercentile(percentile=70)),
                ('classifier', GaussianNB())])"
Random Forest,0.73,0.71,0.67,0.65,0.66,0.6,0.6,0.6,0.3,0.22,153,"Pipeline(steps=[('initial_preprocessor', InitialPreprocessor()),
                ('feature_transformer',
                 ColumnTransformer(n_jobs=-1, remainder='passthrough',
                                   transformers=[('nominal_pipeline',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('ohe',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['derby_name', 'home_team',
                                                   'away_team']),
                                                 ('ordinal_pipeline',
                                                  P...
                                                   'total_avg_goals_scored_last_5_h',
                                                   'total_avg_goals_scored_last_5_a',
                                                   'total_goals_conceded_h',
                                                   'total_goals_conceded_a', ...])])),
                ('feature_selector',
                 SelectFromModel(estimator=RandomForestClassifier(n_jobs=-1,
                                                                  random_state=42),
                                 threshold='median')),
                ('classifier',
                 RandomForestClassifier(max_depth=3, max_features='log2',
                                        min_samples_leaf=6, min_samples_split=6,
                                        n_jobs=-1, random_state=42))])"
