season,home_team,away_team,goals_h,goals_a,stadium,link,match_week,match_date,month,day,weekday,referee,attendance,possession_h,possession_a,shots_on_target_h,shots_on_target_a,shots_h,shots_a,touches_h,touches_a,passes_h,passes_a,tackles_h,tackles_a,clearances_h,clearances_a,corners_h,corners_a,offsides_h,offsides_a,yellow_cards_h,yellow_cards_a,red_cards_h,red_cards_a,fouls_conceded_h,fouls_conceded_a,formation_h,formation_a
2017/18,Burnley,Bournemouth,1,2,Turf Moor,https://www.premierleague.com/match/22712,38,2018-05-13,5,13,7,Paul Tierney,20720,51.4,48.6,4,5,10,16,582,596,416,401,16,10,17,33,7,8,0,0,3,1,0,0,14,9,4-4-1-1,3-4-2-1
2017/18,Crystal Palace,West Brom,2,0,Selhurst Park,https://www.premierleague.com/match/22713,38,2018-05-13,5,13,7,Jonathan Moss,25357,59.2,40.8,5,1,11,7,792,584,560,379,28,34,18,14,4,2,1,1,2,3,0,0,10,11,4-4-2,4-4-1-1
2017/18,Huddersfield,Arsenal,0,1,John Smith's Stadium,https://www.premierleague.com/match/22714,38,2018-05-13,5,13,7,Michael Oliver,24122,45.0,55.0,3,4,19,9,603,715,399,519,18,11,19,36,7,4,0,2,1,0,0,0,11,7,5-3-2,4-3-3
2017/18,Liverpool,Brighton,4,0,Anfield,https://www.premierleague.com/match/22715,38,2018-05-13,5,13,7,Kevin Friend,50752,72.3,27.7,11,1,22,2,898,432,737,275,10,17,7,30,7,3,0,0,1,1,0,0,3,6,4-4-1-1,4-2-3-1
2017/18,Man Utd,Watford,1,0,Old Trafford,https://www.premierleague.com/match/22716,38,2018-05-13,5,13,7,Lee Mason,75049,51.4,48.6,1,3,7,7,659,619,460,429,25,20,23,24,6,5,5,1,4,0,0,0,6,11,4-3-3,4-1-4-1
2017/18,Newcastle,Chelsea,3,0,St. James' Park,https://www.premierleague.com/match/22717,38,2018-05-13,5,13,7,Martin Atkinson,52294,41.9,58.1,6,2,16,6,585,764,406,569,19,18,10,37,4,2,0,2,0,1,0,0,11,10,4-2-3-1,3-5-1-1
2017/18,Southampton,Man City,0,1,St. Mary's Stadium,https://www.premierleague.com/match/22718,38,2018-05-13,5,13,7,Andre Marriner,31882,30.3,69.7,3,2,8,13,441,782,259,583,24,13,30,21,1,12,4,2,3,2,0,0,8,10,5-4-1,4-3-3
2017/18,Swansea,Stoke,1,2,Liberty Stadium,https://www.premierleague.com/match/22719,38,2018-05-13,5,13,7,Anthony Taylor,20673,57.6,42.4,11,5,27,8,744,612,544,414,16,21,4,43,6,0,1,5,1,2,0,0,12,9,4-4-2,4-3-3
2017/18,Spurs,Leicester,5,4,Wembley Stadium,https://www.premierleague.com/match/22720,38,2018-05-13,5,13,7,Craig Pawson,77841,64.0,36.0,6,9,14,17,672,453,480,265,20,23,17,19,4,4,2,4,1,2,0,0,9,13,4-2-3-1,4-2-3-1
2017/18,West Ham,Everton,3,1,London Stadium,https://www.premierleague.com/match/22721,38,2018-05-13,5,13,7,Graham Scott,56926,56.6,43.4,4,7,15,14,652,528,479,365,11,10,20,21,6,6,4,1,0,1,0,0,10,13,3-4-2-1,3-1-4-2
2017/18,West Ham,Man Utd,0,0,London Stadium,https://www.premierleague.com/match/22651,37,2018-05-10,5,10,4,Jonathan Moss,56902,44.2,55.8,2,6,9,16,643,780,476,601,15,16,17,14,1,6,1,2,1,1,0,0,12,12,3-4-2-1,5-3-2
2017/18,Chelsea,Huddersfield,1,1,Stamford Bridge,https://www.premierleague.com/match/22685,37,2018-05-09,5,9,3,Lee Mason,38910,77.9,22.1,5,2,22,3,1053,456,831,243,13,24,7,64,9,0,2,0,0,1,0,0,7,10,3-4-2-1,5-3-2
2017/18,Leicester,Arsenal,3,1,King Power Stadium,https://www.premierleague.com/match/22645,37,2018-05-09,5,9,3,Graham Scott,32095,40.4,59.6,10,7,19,14,525,661,310,477,16,18,20,22,6,6,6,1,2,2,0,1,7,12,4-4-2,4-3-3
2017/18,Man City,Brighton,3,1,Etihad Stadium,https://www.premierleague.com/match/22647,37,2018-05-09,5,9,3,Paul Tierney,54013,73.8,26.2,7,3,19,6,1011,454,854,301,14,14,8,25,4,3,1,2,0,1,0,0,5,7,4-3-3,4-5-1
2017/18,Spurs,Newcastle,1,0,Wembley Stadium,https://www.premierleague.com/match/22650,37,2018-05-09,5,9,3,Neil Swarbrick,54923,62.9,37.1,7,3,11,14,749,496,551,319,12,21,33,22,6,4,4,1,2,3,0,0,10,8,4-2-3-1,4-2-3-1
2017/18,Swansea,Southampton,0,1,Liberty Stadium,https://www.premierleague.com/match/22649,37,2018-05-08,5,8,2,Michael Oliver,20858,53.3,46.7,3,8,11,13,621,565,416,372,11,14,17,56,7,6,2,0,2,1,0,0,7,15,3-4-2-1,3-4-2-1
2017/18,Man City,Huddersfield,0,0,Etihad Stadium,https://www.premierleague.com/match/22708,37,2018-05-06,5,6,7,Mike Dean,54350,79.2,20.8,2,3,15,5,916,382,720,193,14,18,9,55,10,1,1,1,0,3,0,0,9,4,4-3-3,5-3-2
2017/18,Arsenal,Burnley,5,0,Emirates Stadium,https://www.premierleague.com/match/22702,37,2018-05-06,5,6,7,Andre Marriner,59540,63.6,36.4,8,2,16,6,829,527,662,372,12,11,20,23,4,5,0,0,0,1,0,0,6,7,4-3-3,4-4-1-1
2017/18,Chelsea,Liverpool,1,0,Stamford Bridge,https://www.premierleague.com/match/22705,37,2018-05-06,5,6,7,Anthony Taylor,41314,31.6,68.4,4,5,12,10,540,946,354,763,15,12,37,10,3,1,2,0,3,2,0,0,12,9,3-5-1-1,4-3-3
2017/18,Stoke,Crystal Palace,1,2,bet365 Stadium,https://www.premierleague.com/match/22709,37,2018-05-05,5,5,6,Martin Atkinson,29687,41.1,58.9,2,2,7,13,452,613,283,411,18,7,29,26,1,7,2,2,5,2,0,0,18,12,4-4-2,4-4-2
